method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption
Baseline-B (LFU),27,100000,0.36654,0.0,36654,0,0,63346,128310423,64505763,33.45453736959614,222.12096200033284,350.3,350.3,4.502051454281481,1167.2359784000384,1341.2852200000634,12.976303548623068,236.4394237002,10.603282773334998,0.29374005699049804,0.36654,1500,1.0
Baseline-B (LFU),28,100000,0.36525,0.0,36525,0,0,63475,128446777,64369409,33.38382027741177,222.57207500033445,350.3,350.3,4.492926617135134,1167.6209792000243,1341.2852200000639,12.947599676080179,235.1092663725,10.577616053335971,0.2933012567470502,0.36525,1500,1.0
Baseline-B (LFU),29,100000,0.36551,0.0,36551,0,0,63449,128361420,64454766,33.42808886386748,222.4811530003337,350.3,350.3,4.494762754121918,1167.3216874000495,1341.285220000078,12.969913483428849,235.5886152066,10.597568840001895,0.2935760075597725,0.36551,1500,1.0
Baseline-C (Semantic),0,100000,0.38171,0.24956,13215,24956,0,61829,139426819,53389367,27.689255817973706,218.3392475,351.5,351.75,4.580028608919704,1177.2686234000118,1341.2852200000573,12.228316107146728,203.79255277570002,9.934439773336361,0.25608238120624854,0.34427599999999997,1500,1.0
Baseline-C (Semantic),1,100000,0.38251,0.25329,12922,25329,0,61749,139650724,53165462,27.573132268055545,218.06974,351.5,351.75,4.5856889635398295,1177.4230487000298,1341.2852200000566,12.216802873591636,203.36320869620002,9.924144753335122,0.2552825833598909,0.34451649999999995,1500,1.0
Baseline-C (Semantic),2,100000,0.38245,0.25132,13113,25132,0,61755,139341912,53474274,27.733291021532807,218.08467,351.5,351.75,4.58537502888213,1176.974401700033,1341.2852200000639,12.250251911373708,204.512360913,9.954054553335391,0.2563852234360554,0.34475199999999995,1500,1.0
Baseline-C (Semantic),3,100000,0.38262,0.25366,12896,25366,0,61738,139590610,53225576,27.60430911126932,218.0326175,351.5,351.75,4.586469728548757,1177.509941600032,1341.285220000083,12.210324542310303,203.6516988912,9.918351893336725,0.2554974818637513,0.34457099999999996,1500,1.0
Baseline-C (Semantic),4,100000,0.38107,0.24841,13266,24841,0,61893,139525502,53290684,27.638075986006694,218.560495,351.5,351.75,4.575392272972295,1177.6848642000275,1341.2852200000502,12.197283125211548,203.0748095188,9.906690386668181,0.2557300933029515,0.34380849999999996,1500,1.0
Baseline-C (Semantic),5,100000,0.38219,0.25308,12911,25308,0,61781,139821794,52994392,27.484410463341497,218.1813925,351.5,351.75,4.5833422756250854,1178.108721900034,1341.2852200000768,12.16568226257153,202.5392667848,9.878433206669524,0.25467035443374114,0.34422800000000003,1500,1.0
Baseline-C (Semantic),6,100000,0.38152,0.25235,12917,25235,0,61848,139782712,53033474,27.50467950859686,218.414205,351.5,351.75,4.5784567903905335,1177.988997700036,1341.2852200000746,12.174608343185167,202.3333100048,9.886414820002575,0.2548103106189827,0.3436675,1500,1.0
Baseline-C (Semantic),7,100000,0.38089,0.25123,12966,25123,0,61911,139833843,52982343,27.478161506627874,218.632185,351.5,351.75,4.573891991245479,1178.3858445000176,1341.285220000054,12.14502128786821,201.80444625270002,9.859958366669101,0.25462719526946853,0.34320550000000005,1500,1.0
Baseline-C (Semantic),8,100000,0.38314,0.25158,13156,25158,0,61686,138983265,53832921,27.919295634236846,217.8430575,351.5,351.75,4.5904607265255635,1175.7208127000426,1341.2852200000632,12.34371368827972,206.2554535194,10.037627153334704,0.25766171267306825,0.345403,1500,1.0
Baseline-C (Semantic),9,100000,0.38097,0.25175,12922,25175,0,61903,139579528,53236658,27.610056554069583,218.60579,351.5,351.75,4.57444425419839,1177.4659161000257,1341.2852200000666,12.21360687923131,202.81569598259998,9.921286926669397,0.25553708480746984,0.3432075,1500,1.0
Baseline-C (Semantic),10,100000,0.38216,0.25514,12702,25514,0,61784,139691180,53125006,27.55215062702257,218.19793,351.5,351.75,4.582994898255909,1177.418831600025,1341.2852200000727,12.217117280994035,203.02252292959997,9.924425893336517,0.2551378893948247,0.34388899999999994,1500,1.0
Baseline-C (Semantic),11,100000,0.38251,0.25222,13029,25222,0,61749,139344035,53472151,27.732189972889515,218.066755,351.5,351.75,4.585751734600719,1176.9430839000236,1341.2852200000689,12.25258682117118,204.5363247901,9.956142406669688,0.2563776542266512,0.34467699999999996,1500,1.0
Baseline-C (Semantic),12,100000,0.38169,0.25344,12825,25344,0,61831,139773766,53042420,27.509319160581256,218.357925,351.5,351.75,4.579636850826459,1177.7333420000348,1341.285220000074,12.193668845469743,202.457612898,9.903458533335955,0.2548423396636168,0.3436739999999999,1500,1.0
Baseline-C (Semantic),13,100000,0.38308,0.25254,13054,25254,0,61692,139176585,53639601,27.819034341857584,217.867495,351.5,351.75,4.589945829229825,1176.2926718000356,1341.2852200000655,12.301078528250825,205.4825835108,9.999503213335325,0.25697419696379376,0.3451989999999999,1500,1.0
Baseline-C (Semantic),14,100000,0.38091,0.25338,12753,25338,0,61909,139844457,52971729,27.472656782040072,218.631415,351.5,351.75,4.573908100077932,1178.1405822000308,1341.2852200000525,12.163306906491915,201.77461293390004,9.876309186668111,0.25458917209198173,0.342903,1500,1.0
Baseline-C (Semantic),15,100000,0.38259,0.2526,12999,25260,0,61741,139283973,53532213,27.763339847413015,218.0396925,351.5,351.75,4.586320905768109,1176.5733826000305,1341.2852200000668,12.280150034012012,204.8088937167,9.98078916000242,0.25659173599781465,0.3447,1500,1.0
Baseline-C (Semantic),16,100000,0.38246,0.25629,12617,25629,0,61754,139694378,53121808,27.55049205257073,218.0962175,351.5,351.75,4.585132247880457,1177.3643873000249,1341.2852200000596,12.221176395280594,203.1696668768,9.928055513335645,0.25512644910625093,0.34401649999999995,1500,1.0
Baseline-C (Semantic),17,100000,0.38152,0.25197,12955,25197,0,61848,139553618,53262568,27.623494222627137,218.4134175,351.5,351.75,4.578473298234986,1177.3472068000406,1341.2852200000711,12.222457293611413,203.2073494336,9.929200880002039,0.25562966106585855,0.3437245,1500,1.0
Baseline-C (Semantic),18,100000,0.38294,0.25253,13041,25253,0,61706,139375707,53440479,27.715763965998164,217.9163625,351.5,351.75,4.588916539023085,1176.9775513000134,1341.2852200000568,12.250017091818584,204.6449702826,9.953844580002897,0.25626471458897915,0.34506050000000005,1500,1.0
Baseline-C (Semantic),19,100000,0.3819,0.25572,12618,25572,0,61810,140006028,52810158,27.38886143095891,218.2909775,351.5,351.75,4.581041376297836,1178.3808747000405,1341.2852200000814,12.145391813087373,201.68199340200002,9.860289686669391,0.2540098871164873,0.34354199999999996,1500,1.0
Baseline-C (Semantic),20,100000,0.38153,0.25176,12977,25176,0,61847,139690824,53125362,27.55233525882521,218.4093125,351.5,351.75,4.578559350577142,1177.808355000043,1341.2852200000702,12.188076224385638,202.68919363859996,9.898457666668476,0.25513916290114647,0.34376599999999996,1500,1.0
Baseline-C (Semantic),21,100000,0.38301,0.25161,13140,25161,0,61699,139357179,53459007,27.725373117794167,217.889155,351.5,351.75,4.589489550317454,1176.7242850000314,1341.2852200000643,12.26889945152941,204.7533427107,9.970729000002196,0.25633078801307074,0.3452685,1500,1.0
Baseline-C (Semantic),22,100000,0.38195,0.25331,12864,25331,0,61805,139667401,53148785,27.564483097907562,218.26638,351.5,351.75,4.581557636132509,1177.6926888000519,1341.285220000081,12.196699759356118,203.0017843075,9.906168746668603,0.25522294361021,0.34395349999999997,1500,1.0
